process_1,process_2,similarity_score
186,187,0.7580015649677917
209,210,0.8233864525537671
233,234,0.7993307382460393
233,235,0.8065821378677595
234,235,0.942523425370749
275,278,0.7040623380181991
298,299,0.8030826459314565
310,369,0.9168391268827476
