process_id,temperature_raw,temperature_c,time_raw,time_hours
1071914c9ebb4b2135794ff743a91c44-p1,200 c,200.0,,
1071914c9ebb4b2135794ff743a91c44-p2,4 c,4.0,30 min,0.5
1071914c9ebb4b2135794ff743a91c44-p3,4 c,4.0,,
1071914c9ebb4b2135794ff743a91c44-p4,1 c,1.0,,
10b325b9fc1031bc77fd7371149a9f51-p1,100c,100.0,,
1158827736477b5f7c8ba7a93dab0ff8-p1,180 c,180.0,,
11ba885db3a8856213d4d100e4c759f9-p1,60 c,60.0,,
11ba885db3a8856213d4d100e4c759f9-p2,2 c,2.0,,
11ba885db3a8856213d4d100e4c759f9-p3,300 c,300.0,,
11ba885db3a8856213d4d100e4c759f9-p4,70 c,70.0,30 min,0.5
11de57fd02296598ca0b3d68c50b8763-p1,800 c,800.0,,
1206dce868a150b61fd6822931ff32d5-p1,180 c,180.0,,
1206dce868a150b61fd6822931ff32d5-p2,,,,
1206dce868a150b61fd6822931ff32d5-p3,,,,
1206dce868a150b61fd6822931ff32d5-p4,,,,
1206dce868a150b61fd6822931ff32d5-p5,1 c,1.0,20 min,20 min
1206dce868a150b61fd6822931ff32d5-p6,1 c,1.0,30 min,0.5
1206dce868a150b61fd6822931ff32d5-p7,1 c,1.0,40 min,40 min
144bc2559cd9d7842a7a58f02a4a7d77-p1,50 c,50.0,30 min,0.5
167c251e51db2f0089b9497aed8606ed-p1,2 c,2.0,30 min,0.5
167c251e51db2f0089b9497aed8606ed-p2,1 c,1.0,30 min,0.5
16e5dc2e400c02bdb0aaa4b7ba681beb-p1,760c,760.0,30 min,0.5
17da41ecd17f7042a495126b46c1a0ce-p1,4 c,4.0,10 min,10 min
1852ce5df23f991eaad2d06a07e0fb0b-p1,80 c,80.0,60 min,60 min
187fc71493afd95bf4a6ebeca84ff2c3-p1,4156c,4156.0,5 min,5 min
18d21610100170257fb0b41e5c7f7d57-p1,1 c,1.0,1 min,1 min
18d21610100170257fb0b41e5c7f7d57-p2,70 c,70.0,30 min,0.5
18d21610100170257fb0b41e5c7f7d57-p3,110 c,110.0,,
19ce0e757673ddc6727e3778ac3bffdb-p1,2 c,2.0,10 min,10 min
1ac95593f075fd85e7c615ff068ed81e-p1,3c,3.0,20 min,20 min
1ac95593f075fd85e7c615ff068ed81e-p2,,,,
1ac95593f075fd85e7c615ff068ed81e-p3,2 c,2.0,30 min,0.5
1ac95593f075fd85e7c615ff068ed81e-p4,1 c,1.0,,
1b7eacc62a5c4a8065cd974da3e46465-p1,150 c,150.0,5 hr,5 hr
1b7eacc62a5c4a8065cd974da3e46465-p2,120 c,120.0,3 hr,3 hr
1c3e07a1c4df82916b937f40b1857ee6-p1,2 c,2.0,10 min,10 min
1c59ae4d08e3933ed1dc4ce1e2c151bc-p1,3c,3.0,5 min,5 min
1cb749c78dc174d2fe0123b8ac3b9403-p1,3 c,3.0,,
1dd178c73bd73e0f253a5585a96d385f-p1,1 c,1.0,,
1dd178c73bd73e0f253a5585a96d385f-p2,75 c,75.0,30 min,0.5
1dd178c73bd73e0f253a5585a96d385f-p3,,,5 min,5 min
1ef160d58fcc4bf7251cec554d59c204-p1,85 c,85.0,6 hr,6 hr
1ef160d58fcc4bf7251cec554d59c204-p2,2 c,2.0,,
1ef160d58fcc4bf7251cec554d59c204-p3,1 c,1.0,,
1f96f0c842e8adf3e7f5ab5c95c2d549-p1,80 c,80.0,,
1f96f0c842e8adf3e7f5ab5c95c2d549-p2,1 c,1.0,,
1f96f0c842e8adf3e7f5ab5c95c2d549-p3,35 c,35.0,,
1f96f0c842e8adf3e7f5ab5c95c2d549-p4,1 c,1.0,5 min,5 min
2113845b04a140cad44e606c77abd9a3-p1,400 c,400.0,,
216842cef926c856b0f0c38a5589bf42-p1,,,,
21cececf0c23d13c176c9f3948387925-p1,1 c,1.0,,
21cececf0c23d13c176c9f3948387925-p2,60 c,60.0,,
21cececf0c23d13c176c9f3948387925-p3,,,10 min,10 min
2210c9ff10ca4124228e0fd03153bdb3-p1,2 c,2.0,8 min,8 min
2210c9ff10ca4124228e0fd03153bdb3-p2,200 c,200.0,10 min,10 min
224dc40cee9271350f909ea9628bf1bb-p1,,,2 min,2 min
22a0b3c8f810076195d9b19e5efad833-p1,190 c,190.0,,
22d0ef5f4246cc2cddb4f8024a403f3c-p1,,,,
22d9b2bf7ae45069fd9b7404162d9c6c-p1,4 c,4.0,30 min,0.5
233019c47fb150f74826770fa58cab94-p1,,,,
24316de636854e0455bcb31f2a114ab0-p1,220 c,220.0,,
24316de636854e0455bcb31f2a114ab0-p2,1 c,1.0,50 min,50 min
243a0ee969486a0d48f918f5761bf1f0-p1,1 c,1.0,,
243e77821c6192d57f1cf0f9c2852485-p1,2c,2.0,,
243e77821c6192d57f1cf0f9c2852485-p2,2c,2.0,60 min,60 min
243e77821c6192d57f1cf0f9c2852485-p3,2c,2.0,5 min,5 min
244e763d51313bae3c777abca1a87b00-p1,2 c,2.0,30 min,0.5
244e763d51313bae3c777abca1a87b00-p2,,,10 min,10 min
24eb903f14dcbb8e79721342c3454a41-p1,80 c,80.0,30 min,0.5
24eb903f14dcbb8e79721342c3454a41-p2,3c,3.0,30 min,0.5
250139d97892d16c0c45073971e5b772-p1,5 c,5.0,15 min,15 min
25f5ee6c91e18699be1cfbaff719c1ab-p1,,,,
25f5ee6c91e18699be1cfbaff719c1ab-p2,,,,
25f5ee6c91e18699be1cfbaff719c1ab-p3,,,,
26d8657715e3adb230590d4898a33cd2-p1,,,,
273438b603040ef849fa95c26211b6a5-p1,220 c,220.0,,
277aa792a0d307f7d6374d8644641b53-p1,3 c,3.0,,
277aa792a0d307f7d6374d8644641b53-p2,45 c,45.0,,
27d5b52b734b5f8b92db147e082f8c8a-p1,50 c,50.0,,
27e6e890202495ca68610bf2b51f5b49-p1,1 c,1.0,,
2809983cd414bd66dad476be8e5c6d77-p1,,,,
2809983cd414bd66dad476be8e5c6d77-p2,2 c,2.0,,
2809983cd414bd66dad476be8e5c6d77-p3,1 c,1.0,,
28444cf385f229337288fe33fd7d8245-p1,2 c,2.0,,
2a23a21400b5c7d4da7bc962a07bca71-p1,2 c,2.0,,
2a2d447e68a5fdaf6c498aeb242f2222-p1,,,,
2a2d447e68a5fdaf6c498aeb242f2222-p2,,,,
2a2d447e68a5fdaf6c498aeb242f2222-p3,1 c,1.0,10 min,10 min
2a7da7f7a19797f25255e0aa0db1b150-p1,200 c,200.0,,
2a7da7f7a19797f25255e0aa0db1b150-p2,,,,
2a7da7f7a19797f25255e0aa0db1b150-p3,,,,
2a7da7f7a19797f25255e0aa0db1b150-p4,,,,
2ad9f65c1aa3cfc08d79b00979686134-p1,,,,
2aefa7bd78276c730dd369f4d7493033-p1,180 c,180.0,20 min,20 min
2aefa7bd78276c730dd369f4d7493033-p2,155 c,155.0,,
2b0946da30ffefe5719b1a512a777922-p1,700 c,700.0,20 min,20 min
2b0ada1dae143c8ffb7effaae7b8b455-p1,2c,2.0,,
2b0ada1dae143c8ffb7effaae7b8b455-p2,2c,2.0,,
2b0ada1dae143c8ffb7effaae7b8b455-p3,2c,2.0,,
2b0ada1dae143c8ffb7effaae7b8b455-p4,450 c,450.0,,
2b515f4fa4f97eb4112dca59ca1b5a61-p1,60 c,60.0,,
2c140bb312fe8eabbdbc614e1dd8e75e-p1,1 c,1.0,2 hr,2 hr
2c3adb2df6bfca9b5f5becda2ec0a156-p1,660c,660.0,2 min,2 min
2dd82a342838248b76e0aa85c4bec1a0-p1,150 c,150.0,,
2dd82a342838248b76e0aa85c4bec1a0-p2,,,,
2dded1a6fe2693df608e0207a52be8be-p1,1 c,1.0,,
2dded1a6fe2693df608e0207a52be8be-p2,130 c,130.0,60min,60min
2dded1a6fe2693df608e0207a52be8be-p3,1 c,1.0,,
2e87e423af7da398ee72c3fb58863c01-p1,1 c,1.0,,
2ee07c4eec25f6cf2691252966a922d7-p1,3c,3.0,,
2f128cecd77cad88d4b6ad359e89c832-p1,140 c,140.0,30 min,0.5
2f53dae62b73914fa552e4f0b5e76472-p1,4 c,4.0,15 min,15 min
2fbbda61e70f9aae9e6c2f9140cc87d7-p1,,,,
2fbbda61e70f9aae9e6c2f9140cc87d7-p2,,,,
2fbbda61e70f9aae9e6c2f9140cc87d7-p3,,,,
2fbbda61e70f9aae9e6c2f9140cc87d7-p4,900 c,900.0,,
2fbbda61e70f9aae9e6c2f9140cc87d7-p5,1600 c,1600.0,,
2fbbda61e70f9aae9e6c2f9140cc87d7-p6,,,,
2fbbda61e70f9aae9e6c2f9140cc87d7-p7,,,,
2ffbe4c0b6f429004e5555510a4b5651-p1,140 c,140.0,5 min,5 min
2ffbe4c0b6f429004e5555510a4b5651-p2,140 c,140.0,5 min,5 min
2ffbe4c0b6f429004e5555510a4b5651-p3,1 c,1.0,,
323826daff3b89018d5731eb5142e75e-p1,180 c,180.0,5 min,5 min
323826daff3b89018d5731eb5142e75e-p2,1 c,1.0,,
323826daff3b89018d5731eb5142e75e-p3,1 c,1.0,5 min,5 min
323826daff3b89018d5731eb5142e75e-p4,,,10 min,10 min
326bc28c02d88c1e0ee1498c1e9792b8-p1,90 c,90.0,30 min,0.5
326bc28c02d88c1e0ee1498c1e9792b8-p2,1 c,1.0,,
326bc28c02d88c1e0ee1498c1e9792b8-p3,2001c,2001.0,30 min,0.5
32ce7bdf3c84c3d25e5fd0952f8d69b9-p1,4 c,4.0,,
33125a55321e58b5c01c698c15522738-p1,200 c,200.0,20 min,20 min
338070a4a576f09bdd0d0a77b139609f-p1,4 c,4.0,30 min,0.5
349736d9aaaf7fb4ce45c042f2642e2c-p1,1 c,1.0,30 min,0.5
34985cbc08a1e21f79e03b911a1ae91d-p1,900 c,900.0,,
355d1ed21a7822864be2db6f761d8be7-p1,4 c,4.0,30 min,0.5
374a5ae933b167b3e0444e70efa9feb0-p1,,,,
374a5ae933b167b3e0444e70efa9feb0-p2,,,,
374a5ae933b167b3e0444e70efa9feb0-p3,,,,
374a5ae933b167b3e0444e70efa9feb0-p4,,,,
374a5ae933b167b3e0444e70efa9feb0-p5,,,,
374a5ae933b167b3e0444e70efa9feb0-p6,,,,
374a5ae933b167b3e0444e70efa9feb0-p7,,,,
38d0567ae93de1a8fedf2e183a7899e7-p1,180 c,180.0,10 min,10 min
38d0567ae93de1a8fedf2e183a7899e7-p2,150 c,150.0,10 min,10 min
38d0567ae93de1a8fedf2e183a7899e7-p3,150 c,150.0,10 min,10 min
38d0567ae93de1a8fedf2e183a7899e7-p4,150 c,150.0,10 min,10 min
39729febca0cbb7b2e7dc42021a5ba13-p1,1 c,1.0,5 hr,5 hr
39729febca0cbb7b2e7dc42021a5ba13-p2,1 c,1.0,5 min,5 min
39729febca0cbb7b2e7dc42021a5ba13-p3,,,,
39729febca0cbb7b2e7dc42021a5ba13-p4,6 c,6.0,,
39729febca0cbb7b2e7dc42021a5ba13-p5,70 c,70.0,20 min,20 min
398164a8c6b165c5581c847aed7630d7-p1,1 c,1.0,,
